Entrez ID	Symbol	Type	Entrez.ID
10857	PGRMC1	landmark	10857
10856	RUVBL2	best inferred	10856
10859	LILRB1	best inferred	10859
10858	CYP46A1	best inferred	10858
100126791	EGOT	best inferred	100126791
22844	FRMPD1	best inferred	22844
22845	DOLK	best inferred	22845
22846	VASH1	best inferred	22846
22848	AAK1	best inferred	22848
22849	CPEB3	best inferred	22849
124583	CANT1	landmark	124583
22841	RAB11FIP2	landmark	22841
22843	PPM1E	best inferred	22843
10866	HCP5	best inferred	10866
57556	SEMA6A	best inferred	57556
10865	ARID5A	best inferred	10865
10868	USP20	best inferred	10868
10867	TSPAN9	best inferred	10867
10869	USP19	best inferred	10869
57553	MICAL3	best inferred	57553
10863	ADAM28	best inferred	10863
643641	ZNF862	best inferred	643641
22818	COPZ1	best inferred	22818
124565	SLC38A10	best inferred	124565
22808	MRAS	best inferred	22808
22809	ATF5	landmark	22809
22822	PHLDA1	best inferred	22822
22823	MTF2	landmark	22823
22824	HSPA4L	best inferred	22824
22826	DNAJC8	best inferred	22826
22827	PUF60	landmark	22827
22828	SCAF8	best inferred	22828
22829	NLGN4Y	best inferred	22829
57572	DOCK6	best inferred	57572
56242	ZNF253	best inferred	56242
22820	COPG1	best inferred	22820
22821	RASA3	best inferred	22821
10844	TUBGCP2	best inferred	10844
10846	PDE10A	best inferred	10846
10845	CLPX	landmark	10845
10848	PPP1R13L	best inferred	10848
10847	SRCAP	best inferred	10847
57576	KIF17	best inferred	57576
10840	ALDH1L1	best inferred	10840
10842	PPP1R17	best inferred	10842
353189	SLCO4C1	best inferred	353189
389136	VGLL3	best inferred	389136
22899	ARHGEF15	best inferred	22899
22891	ZNF365	best inferred	22891
22893	BAHD1	best inferred	22893
22894	DIS3	best inferred	22894
22895	RPH3A	best inferred	22895
22897	CEP164	best inferred	22897
22898	DENND3	best inferred	22898
22890	ZBTB1	best inferred	22890
222658	KCTD20	best inferred	222658
9201	DCLK1	best inferred	9201
9202	ZMYM4	best inferred	9202
9200	HACD1	best inferred	9200
9205	ZMYM5	best inferred	9205
9203	ZMYM3	best inferred	9203
221395	ADGRF5	best inferred	221395
9212	AURKB	landmark	9212
9211	LGI1	best inferred	9211
9217	VAPB	landmark	9217
9214	FCMR	best inferred	9214
9215	LARGE1	best inferred	9215
9209	LRRFIP2	best inferred	9209
9208	LRRFIP1	best inferred	9208
9221	NOLC1	landmark	9221
10808	HSPH1	best inferred	10808
57460	PPM1H	best inferred	57460
10807	SDCCAG3	best inferred	10807
56130	PCDHB6	best inferred	56130
56132	PCDHB3	best inferred	56132
57468	SLC12A5	best inferred	57468
10810	WASF3	landmark	10810
10813	UTP14A	landmark	10813
10814	CPLX2	best inferred	10814
10817	FRS3	best inferred	10817
57466	SCAF4	best inferred	57466
9218	VAPA	best inferred	9218
9219	MTA2	best inferred	9219
22800	RRAS2	best inferred	22800
9235	IL32	best inferred	9235
9232	PTTG1	best inferred	9232
22802	CLCA4	best inferred	22802
9238	TBRG4	best inferred	9238
9236	CCPG1	best inferred	9236
22806	IKZF3	best inferred	22806
22807	IKZF2	best inferred	22807
10819	OR7E14P	best inferred	10819
10818	FRS2	landmark	10818
57472	CNOT6	best inferred	57472
57473	ZNF512B	best inferred	57473
9230	RAB11B	best inferred	9230
9231	DLG5	best inferred	9231
83737	ITCH	best inferred	83737
57470	LRRC47	best inferred	57470
83744	ZNF484	best inferred	83744
283638	CEP170B	best inferred	283638
10826	FAXDC2	best inferred	10826
10825	NEU3	best inferred	10825
57476	GRAMD1B	best inferred	57476
83743	GRWD1	landmark	83743
10827	FAM114A2	best inferred	10827
9229	DLGAP1	best inferred	9229
9245	GCNT3	best inferred	9245
9246	UBE2L6	landmark	9246
9244	CRLF1	best inferred	9244
9249	DHRS3	best inferred	9249
9240	PNMA1	best inferred	9240
56155	TEX14	best inferred	56155
9256	TSPOAP1	best inferred	9256
9254	CACNA2D2	best inferred	9254
9255	AIMP1	best inferred	9255
9258	MFHAS1	best inferred	9258
57493	HEG1	best inferred	57493
57496	MKL2	best inferred	57496
9252	RPS6KA5	best inferred	9252
83759	RBM4B	best inferred	83759
10802	SEC24A	best inferred	10802
10801	SEPT9	best inferred	10801
57498	KIDINS220	best inferred	57498
9267	CYTH1	landmark	9267
9265	CYTH3	best inferred	9265
9266	CYTH2	best inferred	9266
9260	PDLIM7	best inferred	9260
9263	STK17A	best inferred	9263
9261	MAPKAPK2	landmark	9261
56171	DNAH7	best inferred	56171
9262	STK17B	best inferred	9262
56172	ANKH	best inferred	56172
283683	LOC283683	best inferred	283683
9278	ZBTB22	best inferred	9278
9276	COPB2	landmark	9276
9277	WDR46	best inferred	9277
