file	source	role	note
/ndata/home/khj/R/resources/target_gene_sets/README_target_gene_sets.txt	00_collect_input_files_for_repo.R	Target gene set README	Explains required PPARG/NR3C1/BChE/VEGFR target-axis input files
/ndata/home/khj/R/resources/target_gene_sets/PPARG_ChEA_targets.txt	/ndata/home/khj/R/PPARG_NR3C1_targetgenes/PPARG_ChEA_Transcription_Factor_Targets.txt	PPARG/NR3C1 target-axis source gene set	Automatically matched by pattern: PPARG.*ChEA|ChEA.*PPARG
/ndata/home/khj/R/resources/target_gene_sets/PPARG_JASPAR_2025_targets.txt	/ndata/home/khj/R/PPARG_NR3C1_targetgenes/PPARG_JASPAR_Predicted_Human_Transcription_Factor_Targets_2025.txt	PPARG/NR3C1 target-axis source gene set	Automatically matched by pattern: PPARG.*JASPAR|JASPAR.*PPARG
/ndata/home/khj/R/resources/target_gene_sets/NR3C1_ChEA_targets.txt	/ndata/home/khj/R/PPARG_NR3C1_targetgenes/NR3C1_ChEA_Transcription_Factor_Targets.txt	PPARG/NR3C1 target-axis source gene set	Automatically matched by pattern: NR3C1.*ChEA|ChEA.*NR3C1|GR.*ChEA|ChEA.*GR
/ndata/home/khj/R/resources/target_gene_sets/NR3C1_ENCODE_targets.txt	/ndata/home/khj/R/PPARG_NR3C1_targetgenes/NR3C1_ENCODE_Transcription_Factor_Targets.txt	PPARG/NR3C1 target-axis source gene set	Automatically matched by pattern: NR3C1.*ENCODE|ENCODE.*NR3C1|GR.*ENCODE|ENCODE.*GR
/ndata/home/khj/R/resources/target_gene_sets/NR3C1_JASPAR_2025_targets.txt	/ndata/home/khj/R/PPARG_NR3C1_targetgenes/NR3C1_JASPAR_Predicted_Human_Transcription_Factor_Targets_2025.txt	PPARG/NR3C1 target-axis source gene set	Automatically matched by pattern: NR3C1.*JASPAR|JASPAR.*NR3C1|GR.*JASPAR|JASPAR.*GR
/ndata/home/khj/R/resources/target_gene_sets/BCHE_KEGG_hsa04725_cholinergic_synapse.txt	KEGG hsa04725 via KEGGREST::keggGet	BChE pathway target-axis gene set	ACHE excluded
/ndata/home/khj/R/resources/target_gene_sets/VEGFR_KEGG_hsa04370_VEGF_signaling.txt	KEGG hsa04370 via KEGGREST::keggGet	VEGFR pathway target-axis gene set	KDR and VEGFA excluded
/ndata/home/khj/R/resources/target_gene_sets/target_gene_set_manifest.tsv	00_collect_input_files_for_repo.R	Target gene set manifest	Records copied/regenerated/missing target-axis input gene sets
/ndata/home/khj/R/resources/README.md	00_collect_input_files_for_repo.R	resources README	Documents standardized resource directory
